agent,andvari_reason,andvari_status,kvasir_reason,kvasir_status,lidskjalv_reason,lidskjalv_status,mimir_reason,mimir_status,project_key,repo_slug,run_id,variant
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,EsotericSoftware_reflectasm__generated_codex,EsotericSoftware_reflectasm,20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,EsotericSoftware_reflectasm__generated_v2_codex,EsotericSoftware_reflectasm,20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,EsotericSoftware_reflectasm__generated_v3_codex,EsotericSoftware_reflectasm,20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,v3
codex,,,,,sdk_not_found,failed,,,evant_binding-collection-adapter__original,evant_binding-collection-adapter,20260507T093714Z__evant_binding-collection-adapter__ac7972e1,original
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,evant_binding-collection-adapter__generated_codex,evant_binding-collection-adapter,20260507T093714Z__evant_binding-collection-adapter__ac7972e1,generated
codex,,passed,write-scope-violation,failed,,passed,,passed,evant_binding-collection-adapter__generated_v2_codex,evant_binding-collection-adapter,20260507T093714Z__evant_binding-collection-adapter__ac7972e1,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,evant_binding-collection-adapter__generated_v3_codex,evant_binding-collection-adapter,20260507T093714Z__evant_binding-collection-adapter__ac7972e1,v3
codex,,,,,,passed,,,gothinkster_spring-boot-realworld-example-app__original,gothinkster_spring-boot-realworld-example-app,20260507T093719Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,original
codex,,passed,write-scope-violation,failed,,passed,,passed,gothinkster_spring-boot-realworld-example-app__generated_codex,gothinkster_spring-boot-realworld-example-app,20260507T093719Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,gothinkster_spring-boot-realworld-example-app__generated_v2_codex,gothinkster_spring-boot-realworld-example-app,20260507T093719Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,gothinkster_spring-boot-realworld-example-app__generated_v3_codex,gothinkster_spring-boot-realworld-example-app,20260507T093719Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,v3
codex,,,,,cli_fallback_failed,failed,,,Grt1228_chatgpt-java__original,Grt1228_chatgpt-java,20260507T093724Z__Grt1228_chatgpt-java__ae761b89,original
codex,,passed,runner-timeout,failed,,passed,,passed,Grt1228_chatgpt-java__generated_codex,Grt1228_chatgpt-java,20260507T093724Z__Grt1228_chatgpt-java__ae761b89,generated
codex,,passed,runner-timeout,failed,,passed,,passed,Grt1228_chatgpt-java__generated_v2_codex,Grt1228_chatgpt-java,20260507T093724Z__Grt1228_chatgpt-java__ae761b89,v2
codex,,passed,runner-timeout,failed,,passed,,passed,Grt1228_chatgpt-java__generated_v3_codex,Grt1228_chatgpt-java,20260507T093724Z__Grt1228_chatgpt-java__ae761b89,v3
codex,,,,,,passed,,,j-easy_easy-rules__original,j-easy_easy-rules,20260507T093731Z__j-easy_easy-rules__d4450831,original
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,j-easy_easy-rules__generated_codex,j-easy_easy-rules,20260507T093731Z__j-easy_easy-rules__d4450831,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,j-easy_easy-rules__generated_v2_codex,j-easy_easy-rules,20260507T093731Z__j-easy_easy-rules__d4450831,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,j-easy_easy-rules__generated_v3_codex,j-easy_easy-rules,20260507T093731Z__j-easy_easy-rules__d4450831,v3
codex,,,,,,passed,,,jOOQ_jOOR__original,jOOQ_jOOR,20260508T095107Z__jOOQ_jOOR__23e17cf3,original
codex,,passed,write-scope-violation,failed,,passed,,passed,jOOQ_jOOR__generated_codex,jOOQ_jOOR,20260508T095107Z__jOOQ_jOOR__23e17cf3,generated
codex,,passed,tests-failed,failed,,passed,,passed,jOOQ_jOOR__generated_v2_codex,jOOQ_jOOR,20260508T095107Z__jOOQ_jOOR__23e17cf3,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,jOOQ_jOOR__generated_v3_codex,jOOQ_jOOR,20260508T095107Z__jOOQ_jOOR__23e17cf3,v3
codex,,,,,,passed,,,LianjiaTech_retrofit-spring-boot-starter__original,LianjiaTech_retrofit-spring-boot-starter,20260508T095113Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,original
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,LianjiaTech_retrofit-spring-boot-starter__generated_codex,LianjiaTech_retrofit-spring-boot-starter,20260508T095113Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,LianjiaTech_retrofit-spring-boot-starter__generated_v2_codex,LianjiaTech_retrofit-spring-boot-starter,20260508T095113Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,LianjiaTech_retrofit-spring-boot-starter__generated_v3_codex,LianjiaTech_retrofit-spring-boot-starter,20260508T095113Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,v3
codex,,,,,dependency_failure,failed,,,linkedin_kafka-monitor__original,linkedin_kafka-monitor,20260508T095119Z__linkedin_kafka-monitor__043db641,original
codex,,passed,tests-failed,failed,,passed,,passed,linkedin_kafka-monitor__generated_codex,linkedin_kafka-monitor,20260508T095119Z__linkedin_kafka-monitor__043db641,generated
codex,,passed,,passed,,passed,,passed,linkedin_kafka-monitor__generated_v2_codex,linkedin_kafka-monitor,20260508T095119Z__linkedin_kafka-monitor__043db641,v2
